parameter,sheet_value,status,production_locations,possible_name_mismatch,sheet_location,description
POST_ENTRY_STRENGTH,0.75,active,SRC/preference_engine.py:208,,PARAMS!A49:C49,Proportion of posterior mass allowed to enter when a party is alive but missing from AEC row
PRIMARY_TILT_K,0.2,unused,,,PARAMS!A30:C30,Strength of primary-vote adjustment when allocating preferences between ALP and LNP (bounded by PRIMARY_TILT_MAX).
PRIMARY_TILT_MAX,0.03,unused,,,PARAMS!A31:C31,Hard limit on how much primary-vote differences can move preference flows in either direction.
RESERVE_MASS_WHEN_ALIVE_ZERO,0.12,unused,,,PARAMS!A37:C37,"Forces some preference mass to be allocated by priors when AEC data shows zero flows to still-alive parties, preventing “two-destination collapse”."
SEAT_SHRINKAGE_K,0,active,SRC/preference_engine.py:91,,PARAMS!A57:C57,Exact historical seat flows remain unshrunk; every positive level tested worsened reconstruction.
SIPHON_DONOR_CAP,0.25,unused,,,PARAMS!A41:C41,Maximum share a donor party can lose to siphoning
SIPHON_STRENGTH,0.35,unused,,,PARAMS!A40:C40,SIPHON_STRENGTH
SIPHON_STRENGTH_GRN,0.35,unused,,,PARAMS!A43:C43,
SIPHON_STRENGTH_IND,0.25,unused,,,PARAMS!A44:C44,
SIPHON_STRENGTH_ON,0.5,unused,,,PARAMS!A42:C42,Party-specific siphon aggressiveness
SIPHON_STRENGTH_OTH,0.2,unused,,,PARAMS!A45:C45,
SMOOTH_LAMBDA,0.1,unused,,,PARAMS!A24:C24,Weakly blends in the completed (Markov) matrix to smooth sharp edges when AEC data is sparse. Set to 0 to disable smoothing entirely.
THREE_WAY_MAX,0.8,unused,,,PARAMS!A28:C28,Maximum share any party can receive in a three-candidate (3CP) scenario to prevent implausible dominance.
USE_CLASS_EFFECTS,0,active,SRC/preference_engine.py:141,,PARAMS!A62:C62,Seat-class effects remain disabled after only a marginal held-out gain and weaker reconstruction.
USE_EVIDENCE_SHRINKAGE,1,active,SRC/preference_engine.py:69,,PARAMS!A54:C54,Enables the conservative pooled-evidence framework; nearest-field and seat-class features remain separately controlled.
USE_NEAREST_FIELD_MATCHING,0,active,SRC/preference_engine.py:73,,PARAMS!A55:C55,Disabled for production development; restricted nearest-field matching remains available for shadow testing.
